([(19184, -212640), (19280, -212448)], 426824.67101735657)
([(-84144, 198384), (-83968, 198208)], 430751.5150559739)
([(1360, -216336), (1584, -216224)], 432570.0766947962)
([(-177328, -124752), (-177152, -124656)], 433428.6808485467)
([(99632, -192448), (99840, -192480)], 433542.0081746988)
([(187728, 108688), (187952, 108768)], 434076.69389533944)
([(146752, 160560), (146992, 160560)], 435205.2657028563)
([(-161424, 146256), (-161216, 146272)], 435510.30223855353)
([(-160608, 147312), (-160464, 147472)], 435872.5526704303)
([(-219280, 2208), (-219072, 2160)], 438373.7645401625)
([(-149936, -162448), (-149904, -162288)], 441992.64985538373)
([(185152, 124272), (185120, 124464)], 446061.635973681)
([(-83104, 207712), (-83232, 207872)], 447635.7106823437)
([(82160, 209248), (82208, 209472)], 449825.8320790212)
([(-46256, 222224), (-46064, 222352)], 454060.4012444356)
([(-197840, 115040), (-197984, 115232)], 457932.1365785502)
([(209232, -94064), (209424, -93968)], 458943.25029853114)
([(-209248, -95376), (-209312, -95184)], 459897.40997960826)
([(-101552, -207008), (-101376, -206848)], 460930.1135649382)
([(-206480, -106144), (-206256, -106192)], 464152.5650713442)
([(-213216, -91808), (-213408, -91648)], 464396.5880226155)
([(54048, -226000), (53904, -225792)], 464510.12258101604)
([(-145200, 181520), (-145152, 181760)], 465055.5637759911)
([(-192976, -132768), (-192944, -132544)], 468321.18407400406)
([(232800, -25520), (232992, -25440)], 468571.3595019409)
([(233328, 23136), (233520, 23232)], 469145.0227685025)
([(-233632, 31424), (-233392, 31424)], 471233.79410283046)
([(164720, -169280), (164864, -169200)], 472434.491470279)
([(140080, -192400), (140304, -192320)], 476051.17151992)
([(-14560, -237872), (-14320, -237808)], 476555.9488090035)
([(203040, -127936), (203264, -127920)], 480151.27909305034)
([(241392, 14688), (241504, 14864)], 483799.4378082546)
([(201584, 133840), (201744, 133840)], 484072.3766256529)
([(-230560, -75968), (-230336, -76032)], 485313.44506455306)
([(131920, 205952), (132112, 205936)], 489249.06802329805)
([(-181536, 165744), (-181392, 165936)], 491658.83765513264)
([(-65712, 237424), (-65680, 237584)], 492845.273011629)
([(-222608, 108848), (-222560, 109072)], 495644.75588639005)
([(-46496, 244032), (-46448, 244256)], 497055.0935338478)
([(-247456, -24976), (-247264, -24896)], 497227.41117600165)
([(-207056, 137584), (-207040, 137744)], 497273.59168900835)
([(-207520, 138096), (-207632, 138304)], 498746.58438942407)
([(213568, 130912), (213536, 131152)], 501094.21857041237)
([(-247968, -39696), (-247792, -39792)], 502091.9584972906)
([(-111568, -225456), (-111584, -225232)], 502908.04465937347)
([(251152, 23920), (251152, 24064)], 504590.7185239177)
([(-178896, 179248), (-178688, 179360)], 506424.7880621846)
([(182128, 177760), (182288, 177904)], 509211.05843029066)
([(-255200, -19600), (-255328, -19440)], 512018.5436528823)
([(242432, 82240), (242416, 82432)], 512049.3000061728)
([(-255840, -14560), (-255728, -14336)], 512383.4937535865)
([(248976, -65200), (248832, -65024)], 514559.1442678801)
([(-46912, -253648), (-46800, -253440)], 515674.49415350985)
([(-74992, -248512), (-75008, -248288)], 518951.1021378514)
([(260896, 9392), (261136, 9440)], 522371.56775019126)
([(22080, -260800), (22176, -260576)], 523250.934108626)
([(241728, -104128), (241760, -103904)], 526344.0005078025)
([(-46832, -259232), (-46752, -259024)], 526637.6822221451)
([(212768, -155920), (213008, -155968)], 527787.2083993768)
([(264496, -37584), (264464, -37376)], 534245.0035171993)
([(264496, -37584), (264736, -37568)], 534541.2382468546)
([(226608, -142144), (226816, -142256)], 535235.1670253428)
([(-264416, -43856), (-264192, -43872)], 535838.242755967)
([(-266160, 35104), (-266096, 35344)], 536897.9706749165)
([(-217264, 159040), (-217344, 159280)], 538713.0567214282)
([(69984, -260480), (70176, -260352)], 539361.516646293)
([(-138736, 231280), (-138592, 231488)], 539504.4897960478)
([(-25328, -268672), (-25088, -268640)], 539672.1357246425)
([(269120, -32976), (269344, -33024)], 542493.760067168)
([(-81056, 259616), (-80816, 259648)], 543909.6460195899)
([(-264192, 64864), (-264160, 65024)], 544083.4081473914)
([(-4752, 273040), (-4512, 273040)], 546158.6268470248)
([(163696, 218816), (163920, 218848)], 546701.0572509925)
([(-240800, -130352), (-240640, -130432)], 547533.368602046)
([(255648, -103104), (255616, -102896)], 551204.962283286)
([(-40656, 273632), (-40432, 273600)], 553207.1697016574)
([(-80624, -264864), (-80656, -264640)], 553521.2133321636)
([(-162224, 226144), (-162144, 226304)], 556708.0178770619)
([(105328, -258704), (105536, -258848)], 558859.3010096482)
([(-88912, -266416), (-88864, -266176)], 561478.8914711955)
([(-236816, -151184), (-236992, -151040)], 561990.5815215462)
([(5760, -281232), (5840, -281008)], 562359.6578327387)
([(-89552, -266960), (-89472, -266736)], 562921.8533804133)
([(-230768, -168112), (-230848, -167904)], 570960.7079678503)
([(-236752, 159840), (-236528, 159856)], 571138.783517526)
([(-97680, -268448), (-97664, -268272)], 571163.4081200516)
([(122720, -259040), (122912, -258960)], 573287.992712565)
([(286576, -31728), (286816, -31696)], 576889.0645750746)
([(284320, 48992), (284272, 49168)], 577002.8431842094)
([(-62640, -281920), (-62416, -281968)], 577588.7223252528)
([(-190160, -218272), (-190160, -218048)], 578807.7975142987)
([(270688, 107264), (270848, 107216)], 582462.8060377422)
([(-113136, -269456), (-112992, -269296)], 584283.8307779217)
([(68448, 284208), (68608, 284352)], 584845.993036584)
([(-222912, 189264), (-223024, 189440)], 585043.2800341682)
([(247488, -156320), (247408, -156096)], 585257.0626622188)
([(-40080, 290160), (-39920, 290080)], 585729.0153117743)
([(-233840, -177808), (-233808, -177664)], 587413.8266719992)
([(130304, -263840), (130384, -263632)], 588374.8558389796)
([(-182944, -230704), (-182736, -230736)], 588768.8591031211)
([(294096, 23376), (293984, 23552)], 589949.4534021098)
([(98512, 279344), (98448, 279568)], 592600.9479558202)
([(-212240, -208528), (-212432, -208368)], 595103.893654449)
([(-259808, 145776), (-259808, 145936)], 595899.9059113691)
([(-276880, -111776), (-276816, -111616)], 597062.1923749537)
([(191200, 229232), (191120, 229376)], 597067.7546761355)
([(244512, 171312), (244736, 171376)], 597326.2731854413)
([(297792, 24368), (298016, 24400)], 597800.54439043)
([(111968, -277808), (112128, -277840)], 599135.8241081352)
([(-36224, 299360), (-36240, 299536)], 603263.9970523978)
([(219456, 207056), (219648, 207040)], 603562.6235832013)
([(-16384, -301728), (-16368, -301520)], 604136.44405059)
([(-166608, 253216), (-166400, 253184)], 606081.9354385941)
([(-224576, 203600), (-224672, 203808)], 606469.3331026912)
([(-238736, 187632), (-238576, 187648)], 607175.2927858212)
([(-136880, -271264), (-136704, -271312)], 607648.7083738355)
([(74528, -295232), (74752, -295280)], 609088.6493235703)
([(299088, -62112), (299040, -61904)], 610849.4988507323)
([(-295088, 82000), (-294912, 81936)], 612352.0329904896)
([(-176544, 250736), (-176560, 250880)], 613433.8196943685)
([(290160, -100496), (289968, -100336)], 613907.1561890027)
([(170288, 256144), (170496, 256160)], 615295.985744856)
([(154992, -265872), (155168, -266048)], 615741.9232258399)
([(-231616, 205664), (-231712, 205872)], 619705.3520021252)
([(279904, -134144), (280096, -134064)], 620915.0950943442)
([(-179344, -254784), (-179184, -254768)], 623045.4094896277)
([(-23728, -310960), (-23536, -311008)], 623761.2658527296)
([(128816, -284656), (129024, -284672)], 624992.6964587885)
([(137792, -281248), (137872, -281072)], 626254.2978597258)
([(289056, -121664), (289280, -121552)], 627396.6749047022)
([(252192, 186880), (252432, 186896)], 627976.0317480965)
([(252416, 186736), (252432, 186896)], 628070.3692347556)
([(279200, -144016), (279312, -143792)], 628306.5825842541)
([(-241424, 201072), (-241488, 201296)], 628573.0063893873)
([(198864, -244368), (198912, -244144)], 629975.9933828984)
([(-158864, 272224), (-158720, 272240)], 630317.9054210626)
([(113936, 293952), (114176, 293968)], 630622.7544664838)
([(-297808, -104128), (-297904, -103904)], 630991.4096708216)
([(-307344, 72768), (-307168, 72864)], 631532.8142888315)
([(-208064, -238368), (-207824, -238352)], 632633.2396874849)
([(-235328, -212192), (-235328, -211968)], 633584.0935694347)
([(-231088, -217312), (-230864, -217280)], 634247.4861714117)
([(-233152, -217472), (-232944, -217600)], 637599.5466283518)
([(143504, -287408), (143392, -287200)], 642248.9147777036)
([(284016, -151776), (284176, -151760)], 644186.5103918624)
([(-164144, -278672), (-164224, -278528)], 646759.1542431449)
([(302928, -112976), (303104, -113024)], 646800.421534323)
([(136496, 294752), (136432, 294976)], 649822.1528398234)
([(81776, -315312), (81984, -315232)], 651462.2955840933)
([(-50064, 322400), (-50080, 322560)], 652688.4573917068)
([(-244880, 216672), (-244704, 216608)], 653776.763259199)
([(77824, -317584), (77904, -317376)], 653777.8122379323)
([(-204688, 255344), (-204688, 255568)], 654690.6145185123)
([(228000, -235200), (227888, -234992)], 654915.5591011203)
([(80656, -317840), (80896, -317840)], 655887.311364895)
([(-187056, -269488), (-187056, -269280)], 655919.7820178593)
([(-237264, -226960), (-237056, -227008)], 656556.5012128222)
([(-237264, -226960), (-237280, -226800)], 656574.5666629062)
([(242816, -224928), (242832, -224720)], 661843.8868336738)
([(-314640, 102768), (-314592, 103008)], 662024.7208861368)
([(-308400, -122176), (-308224, -122240)], 663298.0882641957)
([(-250256, 219488), (-250368, 219648)], 665931.541547165)
([(259168, -210144), (259136, -209904)], 667142.7031591381)
([(122224, -310480), (122464, -310432)], 667385.9356579633)
([(309088, 126096), (309264, 126048)], 667784.2502928113)
([(291184, 165632), (291344, 165584)], 670106.6512393174)
([(88832, -323248), (88880, -323040)], 670275.8716946307)
([(107616, -319152), (107536, -318944)], 673392.0762879663)
([(69440, -329392), (69648, -329520)], 673431.9021585351)
([(72848, -330912), (72800, -330736)], 677489.0522286957)
([(-90400, 326480), (-90560, 326656)], 677741.2246481001)
